alg,filename,shorthand,flags,cuCtxTime_sec,cpu_user_sec,cpu_sys_sec,exit,threads,timestamp
encode,Huisken_vasculature_weighted_power_3_1,nvenc_hevc_ultrafast_nvprof,"-c:v nvenc_hevc -preset llhp -2pass 0 -gpu 1",1.52121,0,0,0,1,1494366224
encode,Huisken_vasculature_weighted_power_3_1,nvenc_h264_ultrafast_nvprof,"-c:v nvenc_h264 -preset llhp -2pass 0 -gpu 0",2.10029,0,0,0,1,1494366229
encode,Keller_Zebrafish_HisGFP_weighted_power_3_1,nvenc_hevc_ultrafast_nvprof,"-c:v nvenc_hevc -preset llhp -2pass 0 -gpu 1",2.42118,0,0,0,1,1494366046
encode,Keller_Zebrafish_HisGFP_weighted_power_3_1,nvenc_h264_ultrafast_nvprof,"-c:v nvenc_h264 -preset llhp -2pass 0 -gpu 0",2.68125,0,0,0,1,1494366049
encode,Volvis_arteries_weighted_power_3_1,nvenc_hevc_ultrafast_nvprof,"-c:v nvenc_hevc -preset llhp -2pass 0 -gpu 1",1.26220,0,0,0,1,1494366251
encode,Volvis_arteries_weighted_power_3_1,nvenc_h264_ultrafast_nvprof,"-c:v nvenc_h264 -preset llhp -2pass 0 -gpu 0",2.00987,0,0,0,1,1494366253
encode,Tomancak_spim_TL50_Angle1_unweighted,nvenc_h264_ultrafast_nvprof,"-c:v nvenc_h264 -preset llhp -2pass 0 -gpu 0",2.40213,0,0,0,1,1494365891
encode,Tomancak_spim_TL50_Angle1_unweighted,nvenc_hevc_ultrafast_nvprof,"-c:v nvenc_hevc -preset llhp -2pass 0 -gpu 1",1.92235,0,0,0,1,1494365907
encode,Keller_TM2497_Droso_HisGFP_weighted_power_3_1,nvenc_h264_ultrafast_nvprof,"-c:v nvenc_h264 -preset llhp -2pass 0 -gpu 0",2.22782,0,0,0,1,1494366095
encode,Keller_TM2497_Droso_HisGFP_weighted_power_3_1,nvenc_hevc_ultrafast_nvprof,"-c:v nvenc_hevc -preset llhp -2pass 0 -gpu 1",1.54025,0,0,0,1,1494366107
encode,Myers_synthetic_blobs_noise_unweighted,nvenc_hevc_ultrafast_nvprof,"-c:v nvenc_hevc -preset llhp -2pass 0 -gpu 1",1.35769,0,0,0,1,1494366158
encode,Myers_synthetic_blobs_noise_unweighted,nvenc_h264_ultrafast_nvprof,"-c:v nvenc_h264 -preset llhp -2pass 0 -gpu 0",2.07662,0,0,0,1,1494366199
encode,Myers_HisGFP+BTub-GFP_12Oct2013_spec2_try1-1_weighted_power_3_1,nvenc_h264_ultrafast_nvprof,"-c:v nvenc_h264 -preset llhp -2pass 0 -gpu 0",1.89847,0,0,0,1,1494366256
encode,Myers_HisGFP+BTub-GFP_12Oct2013_spec2_try1-1_weighted_power_3_1,nvenc_hevc_ultrafast_nvprof,"-c:v nvenc_hevc -preset llhp -2pass 0 -gpu 1",1.18222,0,0,0,1,1494366265
encode,Tomancak_spim_TL08_Angle1_Channel1_unweighted,nvenc_hevc_ultrafast_nvprof,"-c:v nvenc_hevc -preset llhp -2pass 0 -gpu 1",1.64800,0,0,0,1,1494365876
encode,Tomancak_spim_TL08_Angle1_Channel1_unweighted,nvenc_h264_ultrafast_nvprof,"-c:v nvenc_h264 -preset llhp -2pass 0 -gpu 0",2.12143,0,0,0,1,1494365948
encode,Hyman_ky5346_3_SI_great37-1_weighted_power_3_1,nvenc_hevc_ultrafast_nvprof,"-c:v nvenc_hevc -preset llhp -2pass 0 -gpu 1",1.18179,0,0,0,1,1494366277
encode,Hyman_ky5346_3_SI_great37-1_weighted_power_3_1,nvenc_h264_ultrafast_nvprof,"-c:v nvenc_h264 -preset llhp -2pass 0 -gpu 0",1.95006,0,0,0,1,1494366279
encode,Keller_TM0066_Droso_HisGFP_unweighted,nvenc_hevc_ultrafast_nvprof,"-c:v nvenc_hevc -preset llhp -2pass 0 -gpu 1",1.52026,0,0,0,1,1494366115
encode,Keller_TM0066_Droso_HisGFP_unweighted,nvenc_h264_ultrafast_nvprof,"-c:v nvenc_h264 -preset llhp -2pass 0 -gpu 0",2.29398,0,0,0,1,1494366147
encode,Myers_synthetic_filaments_noise_unweighted,nvenc_hevc_ultrafast_nvprof,"-c:v nvenc_hevc -preset llhp -2pass 0 -gpu 1",1.36696,0,0,0,1,1494366175
encode,Myers_synthetic_filaments_noise_unweighted,nvenc_h264_ultrafast_nvprof,"-c:v nvenc_h264 -preset llhp -2pass 0 -gpu 0",2.10766,0,0,0,1,1494366183
encode,Hyman_ky5346_3_SI_great37-1_unweighted,nvenc_hevc_ultrafast_nvprof,"-c:v nvenc_hevc -preset llhp -2pass 0 -gpu 1",1.19511,0,0,0,1,1494366275
encode,Hyman_ky5346_3_SI_great37-1_unweighted,nvenc_h264_ultrafast_nvprof,"-c:v nvenc_h264 -preset llhp -2pass 0 -gpu 0",1.93348,0,0,0,1,1494366275
encode,Myers_synthetic_filaments_noise_weighted_power_3_1,nvenc_hevc_ultrafast_nvprof,"-c:v nvenc_hevc -preset llhp -2pass 0 -gpu 1",1.36762,0,0,0,1,1494366161
encode,Myers_synthetic_filaments_noise_weighted_power_3_1,nvenc_h264_ultrafast_nvprof,"-c:v nvenc_h264 -preset llhp -2pass 0 -gpu 0",2.08319,0,0,0,1,1494366172
encode,Keller_Zebrafish_HisGFP_unweighted,nvenc_hevc_ultrafast_nvprof,"-c:v nvenc_hevc -preset llhp -2pass 0 -gpu 1",2.51996,0,0,0,1,1494365860
encode,Keller_Zebrafish_HisGFP_unweighted,nvenc_h264_ultrafast_nvprof,"-c:v nvenc_h264 -preset llhp -2pass 0 -gpu 0",2.66026,0,0,0,1,1494365947
encode,Keller_TM0829_Droso_PanNeural_unweighted,nvenc_hevc_ultrafast_nvprof,"-c:v nvenc_hevc -preset llhp -2pass 0 -gpu 1",1.34890,0,0,0,1,1494366212
encode,Keller_TM0829_Droso_PanNeural_unweighted,nvenc_h264_ultrafast_nvprof,"-c:v nvenc_h264 -preset llhp -2pass 0 -gpu 0",2.08893,0,0,0,1,1494366220
encode,Volvis_arteries_unweighted,nvenc_hevc_ultrafast_nvprof,"-c:v nvenc_hevc -preset llhp -2pass 0 -gpu 1",1.25739,0,0,0,1,1494366245
encode,Volvis_arteries_unweighted,nvenc_h264_ultrafast_nvprof,"-c:v nvenc_h264 -preset llhp -2pass 0 -gpu 0",2.07847,0,0,0,1,1494366249
encode,Keller_TM2497_Droso_HisGFP_unweighted,nvenc_hevc_ultrafast_nvprof,"-c:v nvenc_hevc -preset llhp -2pass 0 -gpu 1",1.26250,0,0,0,1,1494366090
encode,Keller_TM2497_Droso_HisGFP_unweighted,nvenc_h264_ultrafast_nvprof,"-c:v nvenc_h264 -preset llhp -2pass 0 -gpu 0",2.20255,0,0,0,1,1494366114
encode,Myers_HisGFP+BTub-GFP_12Oct2013_spec2_try1-1_unweighted,nvenc_h264_ultrafast_nvprof,"-c:v nvenc_h264 -preset llhp -2pass 0 -gpu 0",1.99470,0,0,0,1,1494366260
encode,Myers_HisGFP+BTub-GFP_12Oct2013_spec2_try1-1_unweighted,nvenc_hevc_ultrafast_nvprof,"-c:v nvenc_hevc -preset llhp -2pass 0 -gpu 1",1.18305,0,0,0,1,1494366264
encode,Tomancak_spim_TL05_Angle1_weighted_power_3_1,nvenc_hevc_ultrafast_nvprof,"-c:v nvenc_hevc -preset llhp -2pass 0 -gpu 1",1.75966,0,0,0,1,1494365935
encode,Tomancak_spim_TL05_Angle1_weighted_power_3_1,nvenc_h264_ultrafast_nvprof,"-c:v nvenc_h264 -preset llhp -2pass 0 -gpu 0",2.18043,0,0,0,1,1494366002
