alg,filename,shorthand,flags,realtime_sec,cpu_user_sec,cpu_sys_sec,exit,threads,timestamp
encode,Volvis_arteries_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",0.09,0.08,0.04,0,8,1494362962
encode,Volvis_arteries_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",1.33,2.03,0.11,0,8,1494362964
encode,Tomancak_spim_TL50_Angle1_unweighted,libx264_ultrafast,"-c:v libx264 -preset ultrafast",0.49,2.77,0.21,0,8,1494362963
encode,Tomancak_spim_TL50_Angle1_unweighted,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",7.31,55.69,0.56,0,8,1494362962
encode,Myers_synthetic_blobs_noise_unweighted,libx264_ultrafast,"-c:v libx264 -preset ultrafast",0.16,0.78,0.05,0,8,1494362962
encode,Myers_synthetic_blobs_noise_unweighted,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",4.81,21.88,0.27,0,8,1494362963
encode,Myers_HisGFP+BTub-GFP_12Oct2013_spec2_try1-1_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",0.15,0.07,0.04,0,8,1494362963
encode,Myers_HisGFP+BTub-GFP_12Oct2013_spec2_try1-1_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",0.39,0.92,0.09,0,8,1494362963
encode,Tomancak_spim_TL08_Angle1_Channel1_unweighted,libx264_ultrafast,"-c:v libx264 -preset ultrafast",0.36,2.16,0.14,0,8,1494362964
encode,Tomancak_spim_TL08_Angle1_Channel1_unweighted,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",6.89,39.34,0.54,0,8,1494362963
encode,Hyman_ky5346_3_SI_great37-1_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",0.19,0.03,0.04,0,8,1494362963
encode,Hyman_ky5346_3_SI_great37-1_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",0.30,0.47,0.08,0,8,1494362963
encode,Keller_TM0066_Droso_HisGFP_unweighted,libx264_ultrafast,"-c:v libx264 -preset ultrafast",0.28,0.80,0.07,0,8,1494362963
encode,Keller_TM0066_Droso_HisGFP_unweighted,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",3.19,20.90,0.52,0,8,1494362964
encode,Keller_Zebrafish_HisGFP_unweighted,libx264_ultrafast,"-c:v libx264 -preset ultrafast",1.23,5.59,0.44,0,8,1494362963
encode,Keller_Zebrafish_HisGFP_unweighted,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",17.96,121.40,1.13,0,8,1494362963
encode,Volvis_arteries_unweighted,libx264_ultrafast,"-c:v libx264 -preset ultrafast",0.20,0.10,0.05,0,8,1494362963
encode,Volvis_arteries_unweighted,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",0.68,1.95,0.08,0,8,1494362963
encode,Keller_TM2497_Droso_HisGFP_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",0.16,0.51,0.07,0,8,1494362962
encode,Keller_TM2497_Droso_HisGFP_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",2.50,14.53,0.21,0,8,1494362962
encode,Myers_HisGFP+BTub-GFP_12Oct2013_spec2_try1-1_unweighted,libx264_ultrafast,"-c:v libx264 -preset ultrafast",0.07,0.08,0.03,0,8,1494362962
encode,Myers_HisGFP+BTub-GFP_12Oct2013_spec2_try1-1_unweighted,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",0.41,0.95,0.08,0,8,1494362963
encode,Keller_TM0829_Droso_PanNeural_unweighted,libx264_ultrafast,"-c:v libx264 -preset ultrafast",0.25,0.74,0.08,0,8,1494362963
encode,Keller_TM0829_Droso_PanNeural_unweighted,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",4.06,26.10,0.44,0,8,1494362962
encode,Tomancak_spim_TL05_Angle1_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",0.43,2.37,0.24,0,8,1494362963
encode,Tomancak_spim_TL05_Angle1_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",7.76,46.61,0.50,0,8,1494362963
encode,Hyman_ky5346_3_SI_great37-1_unweighted,libx264_ultrafast,"-c:v libx264 -preset ultrafast",0.16,0.04,0.04,0,8,1494362964
encode,Hyman_ky5346_3_SI_great37-1_unweighted,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",0.39,0.68,0.08,0,8,1494362964
encode,Myers_synthetic_filaments_noise_unweighted,libx264_ultrafast,"-c:v libx264 -preset ultrafast",0.16,0.73,0.06,0,8,1494362963
encode,Myers_synthetic_filaments_noise_unweighted,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",3.32,17.58,0.24,0,8,1494362963
encode,Tomancak_spim_TL50_Angle1_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",0.41,2.34,0.19,0,8,1494362963
encode,Tomancak_spim_TL50_Angle1_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",5.71,38.54,0.50,0,8,1494362963
