filename,shorthand,flags,timestamp,raw_size_bytes,encoded_size_bytes,bits_p_sample,left_drange,mse,nrmse,psnr,right_drange
Myers_synthetic_filaments_noise_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",1494362962,100664882,1677506,8,256,2.07087,6.23507e-05,103.546,256
Myers_synthetic_filaments_noise_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",1494362963,100664882,457243,8,256,3.24269,7.8022e-05,99.0612,256
Keller_Zebrafish_HisGFP_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",1494362963,1256905570,22783027,8,253,1.79112,3.12147e-05,104.997,249
Keller_Zebrafish_HisGFP_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",1494362963,1256905570,1035588,8,253,2.70111,3.83326e-05,100.889,245
Volvis_arteries_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",1494362962,25167410,230767,8,250,1.60861,7.95878e-05,106.072,256
Volvis_arteries_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",1494362964,25167410,78162,8,250,2.52638,9.97401e-05,101.557,256
Keller_TM0829_Droso_PanNeural_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",1494362963,91999365,840785,8,256,1.0096,4.45257e-05,110.73,256
Keller_TM0829_Droso_PanNeural_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",1494362964,91999365,144430,8,256,1.71847,5.80909e-05,105.411,256
Tomancak_spim_TL50_Angle1_unweighted,libx264_ultrafast,"-c:v libx264 -preset ultrafast",1494362963,396864832,43553804,8,256,5.59767,7.27488e-05,93.6018,256
Tomancak_spim_TL50_Angle1_unweighted,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",1494362962,396864832,4612714,8,256,10.23,9.83468e-05,87.572,256
Keller_TM0066_Droso_HisGFP_unweighted,libx264_ultrafast,"-c:v libx264 -preset ultrafast",1494362963,116521467,11657181,8,256,6.23769,0.000104326,92.5192,256
Keller_TM0066_Droso_HisGFP_unweighted,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",1494362964,116521467,1656961,8,256,10.7152,0.000136736,87.1086,256
Myers_synthetic_blobs_noise_unweighted,libx264_ultrafast,"-c:v libx264 -preset ultrafast",1494362962,100664882,17122837,8,256,5.51608,0.000101761,93.7486,256
Myers_synthetic_blobs_noise_unweighted,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",1494362963,100664882,1821655,8,256,12.4381,0.000152807,85.6176,256
Myers_HisGFP+BTub-GFP_12Oct2013_spec2_try1-1_weighted_power_3_1,libx264_ultrafast,"-c:v libx264 -preset ultrafast",1494362963,12442136,643013,8,195,3.00093,0.000166391,99.8361,183
Myers_HisGFP+BTub-GFP_12Oct2013_spec2_try1-1_weighted_power_3_1,libx265_ultrafast,"-c:v libx265 -x265-params pools=8,-",1494362963,12442136,10043,8,195,4.09104,0.000194276,96.7373,126
Tomancak_spim_TL08_Angle1_Channel1_unweighted,libx264_ultrafast,"-c:v libx264 -preset ultrafast",1494362964,328320622,31400295,8,256,5.20659,7.35673e-05,94.326,256
