mode,filename,pipeline,realtime_s,user_s,sys_s,exit_code,threads,timestamp
decode,Huisken_vasculature,quantiser(weighting_function=power_3_1),1.34,0.30,0.65,0,8,1494414712
decode,Huisken_vasculature,quantiser->lz4,1.59,0.35,0.71,0,8,1494414713
decode,Huisken_vasculature,raster_reorder(tile_size=4)->bitswap1->lz4,2.97,2.22,0.71,0,8,1494414711
decode,Huisken_vasculature,quantiser,1.24,0.30,0.72,0,8,1494414716
decode,Huisken_vasculature,zcurve_reorder(tile_size=4)->bitswap1->lz4,3.16,3.44,0.79,0,8,1494414713
decode,Huisken_vasculature,quantiser->h264,2.47,1.52,0.72,0,8,1494414713
decode,Huisken_vasculature,raster_reorder(tile_size=4)->bitswap1->lz4,3.13,2.13,0.71,0,8,1494414714
decode,Huisken_vasculature,lz4,1.68,0.44,0.90,0,8,1494414717
decode,Huisken_vasculature,zcurve_reorder(tile_size=4)->bitswap1->lz4,3.17,3.40,0.72,0,8,1494414718
decode,Huisken_vasculature,bitswap1->lz4,3.10,1.93,0.73,0,8,1494414719
decode,Huisken_vasculature,frame_shuffle->bitswap1->lz4,3.29,1.92,0.86,0,8,1494414718
decode,Huisken_vasculature,rmestbkrd->bitswap1->lz4,2.89,1.88,0.64,0,8,1494414719
decode,Huisken_vasculature,quantiser->hevc,5.21,4.14,0.72,0,8,1494414719
decode,Keller_TM2497_Droso_HisGFP,quantiser,1.45,0.39,0.89,0,8,1494414658
decode,Keller_TM2497_Droso_HisGFP,raster_reorder(tile_size=4)->bitswap1->lz4,3.87,3.11,0.96,0,8,1494414662
decode,Keller_TM2497_Droso_HisGFP,bitswap1->lz4,3.81,2.44,0.97,0,8,1494414665
decode,Keller_TM2497_Droso_HisGFP,quantiser(weighting_function=power_3_1),2.27,0.38,0.90,0,8,1494414671
decode,Keller_TM2497_Droso_HisGFP,raster_reorder(tile_size=4)->bitswap1->lz4,4.42,3.20,1.20,0,8,1494414668
decode,Keller_TM2497_Droso_HisGFP,zcurve_reorder(tile_size=4)->bitswap1->lz4,4.41,4.24,1.06,0,8,1494414668
decode,Keller_TM2497_Droso_HisGFP,lz4,3.04,0.58,1.25,0,8,1494414673
decode,Keller_TM2497_Droso_HisGFP,quantiser->h264,3.92,2.02,1.20,0,8,1494414672
