filename,pipeline,timestamp,bits_p_sample,l1norm,l2norm,left_drange,mnmse,mse,nrmse,psnr,right_drange,rms
spim_TL05_Angle1,quantiser(weighting_function=power_3_1),1494414626,16,31963.3,2.42841e+06,50994,0.000291825,15406.5,1.562e-06,125.381,64407,124.123
spim_TL05_Angle1,quantiser,1494414623,16,682023,1.2134e+08,50994,0.00206283,3.8465e+07,1.10413e-05,47.1542,64407,6202.02
spim_TL05_Angle1,quantiser->lz4,1494414626,16,816734,1.7271e+08,50994,0.00246104,7.7928e+07,1.31728e-05,40.0938,65008,8827.69
spim_TL05_Angle1,lz4,1494414623,16,0,0,50994,0,0,0,inf,50994,0
spim_TL05_Angle1,bitswap1->lz4,1494414626,16,0,0,50994,0,0,0,inf,50994,0
spim_TL05_Angle1,zcurve_reorder(tile_size=4)->bitswap1->lz4,1494414626,16,0,0,50994,0,0,0,inf,50994,0
spim_TL05_Angle1,quantiser->h264,1494414626,16,750184,1.46569e+08,50994,0.00226716,5.61237e+07,1.2135e-05,43.3761,64793,7491.58
spim_TL05_Angle1,raster_reorder(tile_size=4)->bitswap1->lz4,1494414626,16,13590.5,199290,50994,8.35996e-05,103.761,4.47469e-07,175.386,51124,10.1863
spim_TL05_Angle1,raster_reorder(tile_size=4)->bitswap1->lz4,1494414626,16,13590.5,199290,50994,8.35996e-05,103.761,4.47469e-07,175.386,51124,10.1863
spim_TL05_Angle1,zcurve_reorder(tile_size=4)->bitswap1->lz4,1494414626,16,0,0,50994,0,0,0,inf,50994,0
spim_TL05_Angle1,frame_shuffle->bitswap1->lz4,1494414626,16,0,0,50994,0,0,0,inf,50994,0
spim_TL05_Angle1,quantiser->hevc,1494414623,16,755343,1.42457e+08,50994,0.00223513,5.30188e+07,1.19636e-05,43.9452,64407,7281.4
spim_TL05_Angle1,rmestbkrd->bitswap1->lz4,1494414626,16,292700,4.39673e+06,50994,0.000392669,50503.5,2.10177e-06,113.509,50886,224.73
spim_TL08_Angle1_Channel1,quantiser,1494414626,16,386469,7.41126e+07,2016,0.00227167,2.50944e+07,0.00028878,51.4252,64415,5009.43
spim_TL08_Angle1_Channel1,quantiser->lz4,1494414626,16,439286,8.11013e+07,2016,0.00237637,3.00504e+07,0.00030209,49.6229,65073,5481.82
spim_TL08_Angle1_Channel1,bitswap1->lz4,1494414626,16,0,0,2016,0,0,0,inf,2016,0
